CODIGO;DESCRIPCION;UNIDAD;COSTO_PROMEDIO_BS;COSTO_PROMEDIO_$;ENTRADA;SALIDA;EXISTENCIA;CATEGORIA;ESTADO;
CON-0001;AMBIENTADORES;UND;;9.10;4;4;0;CONSUMIBLES;ACTIVO;
HER-0001;ASPIRADORA INDUSTRIAL RIDGID;UND;;495.92;1;0;1;HERRAMIENTAS;ACTIVO;
HER-0002;ARNES DE SEGURIDAD;UND;;55.00;4;2;2;HERRAMIENTAS;ACTIVO;
CON-0002;ACEITE 15W-40 PARA MOTOR MARCA LUBRIC MOK;LITRO;;0;1;1;0;CONSUMIBLES;ACTIVO;
CON-0003;ACEITE CASTROL 10W-30;LITRO;;0;1;0;1;CONSUMIBLES;ACTIVO;
PIN-0001;PINTURA AV2000 MONTAFIX SATINADO A0647;GALON;;26.46;14;14;0;PINTURA;ACTIVO;
MAT-0001;"ARANDELA PLANA DE 1/2""";UND;;0;40;40;0;MATERIALES;ACTIVO;
MAT-0002;ARENA LAVADA (SACO);SACO;;0.69;56;56;0;MATERIALES;ACTIVO;
ELE-0001;"ADAPTADOR EMT MACHO 1/2""";UND;;18.00;45;13;32;ELECTRICIDAD;ACTIVO;
ELE-0002;"ABRAZADERAS EMT 3/4"" DE DOS PATAS";UND;;2.50;3;0;3;ELECTRICIDAD;ACTIVO;
MAT-0003;ALAMBRE (ROLLO);ROLLO;;3.79;19;19;0;MATERIALES;ACTIVO;
MAT-0004;ARANDELA PLANA 5/8 4MM;UND;;4.90;120;120;0;MATERIALES;ACTIVO;
MAT-0005;ARENA LAVADA (MTRS);M3;;12.17;6.7;6.7;0;MATERIALES;ACTIVO;
MAT-0006;ARENA CERNIDA (BOLSA);SACO;;3.22;67;46;21;MATERIALES;ACTIVO;
ELE-0003;ABRAZADERA 1 PATA EMT 3/4;UND;;2.70;51;51;0;ELECTRICIDAD;ACTIVO;
MAT-0007;ARENA CERNIDA MT3;M3;;24.34;6.5;6.5;0;MATERIALES;ACTIVO;
HER-0003;"ARCO PARA SEGUETA 12""";UND;;5.00;1;1;0;HERRAMIENTAS;ACTIVO;
ELE-0004;APAGADOR SENCILLO TROEN;UND;;2.50;12;3;9;ELECTRICIDAD;ACTIVO;
ELE-0005;APAGADOR DOBLE TROEN;UND;;2.50;7;1;6;ELECTRICIDAD;ACTIVO;
PLO-0001;"ADAPTADOR PVC MACHO DE 1""";UND;;2.88;1;1;0;PLOMERIA;ACTIVO;
PLO-0002;"ADAPTADOR HEMBRA A/F 1/2""";UND;;6.57;2;2;0;PLOMERIA;ACTIVO;
MAT-0008;ALAMBRE LISO;ROLLO;;3.45;33;33;0;MATERIALES;ACTIVO;
PIN-0002;ADESI-TOP HIDROFIGO #205;GALON;;0;1;1;0;PINTURA;ACTIVO;
ELE-0006;"ADAPTADOR DE ELECTRICIDAD 1""";UND;;1.80;1;1;0;ELECTRICIDAD;ACTIVO;
ELE-0007;APAGADORES DOBLE;UND;;9.40;40;35;5;ELECTRICIDAD;ACTIVO;
ELE-0008;APAGADORES TRIPLES;UND;;9.74;6;3;3;ELECTRICIDAD;ACTIVO;
MAT-0009;ANGULOS GALVANIZADOS DE HIERRO;BARRA;;35.80;10;10;0;MATERIALES;ACTIVO;
PLO-0003;"ANILLO 3/4X1/2"" DE A/F";UND;;0.46;3;3;0;PLOMERIA;ACTIVO;
MAT-0010;ANGULOS DE ALUMINIO PARA PORTABORRADORES 2X1X1/16;BARRA;;49.00;4;4;0;MATERIALES;ACTIVO;
MAT-0011;ANGULO 3/4X3/4 NATURAL;BARRA;;23.00;39;39;0;MATERIALES;ACTIVO;
PLO-0004;ASPERSOR DE RIEGO;UND;;7.38;30;13;17;PLOMERIA;ACTIVO;
PLO-0005;ABRAZADERA PVC;UND;;2.61;8;8;0;PLOMERIA;ACTIVO;
MAT-0012;ANGULO BLANCO;BARRA;;10.00;10;10;0;MATERIALES;ACTIVO;
